,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
0,0,12794,2,0,1480000.0,1,23,45,2.5,3067.0,2.0,1.0,1.0,202.0,,,Yarra,-37.7996,144.9984,2,4019.0
1,0,5943,2,0,1035000.0,1,23,47,2.5,3067.0,2.0,1.0,0.0,156.0,79.0,1900.0,Yarra,-37.8079,144.9934,2,4019.0
2,0,9814,3,0,1465000.0,3,23,48,2.5,3067.0,3.0,2.0,0.0,134.0,150.0,1900.0,Yarra,-37.8093,144.9944,2,4019.0
3,0,9004,3,0,850000.0,0,23,48,2.5,3067.0,3.0,2.0,1.0,94.0,,,Yarra,-37.7969,144.9969,2,4019.0
4,0,10589,4,0,1600000.0,4,155,49,2.5,3067.0,3.0,1.0,2.0,120.0,142.0,2014.0,Yarra,-37.8072,144.9941,2,4019.0
5,0,2195,2,0,941000.0,1,106,52,2.5,3067.0,2.0,1.0,0.0,181.0,,,Yarra,-37.8041,144.9953,2,4019.0
6,0,2142,3,0,1876000.0,1,155,52,2.5,3067.0,4.0,2.0,0.0,245.0,210.0,1910.0,Yarra,-37.8024,144.9993,2,4019.0
7,0,13335,2,0,1636000.0,1,155,56,2.5,3067.0,2.0,1.0,2.0,256.0,107.0,1890.0,Yarra,-37.806,144.9954,2,4019.0
8,0,11082,1,2,300000.0,1,23,56,2.5,3067.0,1.0,1.0,1.0,0.0,,,Yarra,-37.8008,144.9973,2,4019.0
9,0,1090,2,0,1097000.0,1,23,56,2.5,3067.0,3.0,1.0,2.0,220.0,75.0,1900.0,Yarra,-37.801,144.9989,2,4019.0
10,0,9174,2,2,700000.0,4,106,7,2.5,3067.0,2.0,2.0,1.0,0.0,,,Yarra,-37.811,145.0067,2,4019.0
11,0,9029,3,0,1350000.0,4,155,7,2.5,3067.0,3.0,2.0,2.0,214.0,190.0,2005.0,Yarra,-37.8085,144.9964,2,4019.0
12,0,2125,2,2,750000.0,1,23,7,2.5,3067.0,2.0,2.0,1.0,0.0,94.0,2009.0,Yarra,-37.8078,144.9965,2,4019.0
13,0,9482,2,0,1172500.0,1,23,9,2.5,3067.0,2.0,1.0,1.0,195.0,,,Yarra,-37.8084,144.9973,2,4019.0
14,0,11881,1,2,441000.0,3,85,10,2.5,3067.0,1.0,1.0,1.0,0.0,,,Yarra,-37.8016,144.9988,2,4019.0
15,0,3286,2,0,1310000.0,1,106,12,2.5,3067.0,2.0,1.0,2.0,238.0,97.0,1890.0,Yarra,-37.809,144.9976,2,4019.0
16,0,9211,3,0,1200000.0,1,106,14,2.5,3067.0,3.0,2.0,1.0,113.0,110.0,1880.0,Yarra,-37.8056,144.993,2,4019.0
17,0,12273,3,0,1176500.0,1,117,14,2.5,3067.0,2.0,1.0,1.0,138.0,105.0,1890.0,Yarra,-37.8021,144.9965,2,4019.0
18,0,4017,3,0,955000.0,1,49,17,2.5,3067.0,3.0,1.0,0.0,183.0,,,Yarra,-37.8022,144.9975,2,4019.0
19,0,9250,2,0,890000.0,1,23,17,2.5,3067.0,2.0,1.0,1.0,150.0,73.0,1985.0,Yarra,-37.8011,145.0004,2,4019.0
20,0,7273,4,0,1330000.0,0,111,18,2.5,3067.0,4.0,2.0,2.0,780.0,135.0,1900.0,Yarra,-37.8073,144.9952,2,4019.0
21,0,2403,3,1,900000.0,1,19,18,2.5,3067.0,3.0,2.0,2.0,0.0,,2010.0,Yarra,-37.8093,144.9959,2,4019.0
22,0,2530,3,2,1090000.0,1,106,18,2.5,3067.0,3.0,2.0,2.0,4290.0,27.0,,Yarra,-37.8078,144.9965,2,4019.0
23,0,11073,2,2,500000.0,1,49,19,2.5,3067.0,2.0,1.0,1.0,0.0,60.0,1970.0,Yarra,-37.8015,144.9972,2,4019.0
24,0,10411,2,0,1100000.0,0,23,19,2.5,3067.0,2.0,2.0,1.0,124.0,135.0,2013.0,Yarra,-37.8079,144.9977,2,4019.0
25,0,9728,2,0,1315000.0,1,135,21,2.5,3067.0,2.0,1.0,0.0,147.0,85.0,1900.0,Yarra,-37.808,144.994,2,4019.0
26,0,10064,1,2,426000.0,3,85,26,2.5,3067.0,1.0,1.0,1.0,0.0,,,Yarra,-37.8016,144.9988,2,4019.0
27,0,9621,3,0,1447500.0,0,155,26,2.5,3067.0,3.0,3.0,1.0,166.0,174.0,2012.0,Yarra,-37.8017,145.0001,2,4019.0
28,0,1791,1,2,457000.0,1,106,26,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,,Yarra,-37.8078,144.9965,2,4019.0
29,0,3125,2,0,1135000.0,1,155,26,2.5,3067.0,2.0,2.0,2.0,98.0,128.0,1920.0,Yarra,-37.8005,144.9952,2,4019.0
30,0,7564,4,0,1542000.0,1,49,30,2.5,3067.0,4.0,3.0,1.0,0.0,,,Yarra,-37.7994,144.9965,2,4019.0
31,0,3364,3,0,1290000.0,1,23,31,2.5,3067.0,3.0,2.0,2.0,147.0,18.0,,Yarra,-37.805,144.9943,2,4019.0
32,0,11237,3,0,1290000.0,1,23,31,2.5,3067.0,3.0,1.0,1.0,168.0,124.0,1950.0,Yarra,-37.8007,144.9958,2,4019.0
33,0,1633,1,2,470000.0,1,155,32,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,2013.0,Yarra,-37.8055,144.9961,2,4019.0
34,0,9594,2,0,1180000.0,1,106,36,2.5,3067.0,2.0,1.0,0.0,162.0,91.0,1900.0,Yarra,-37.8016,144.9956,2,4019.0
35,0,9484,3,0,1195000.0,3,106,36,2.5,3067.0,3.0,2.0,1.0,120.0,128.0,1998.0,Yarra,-37.8022,144.9954,2,4019.0
36,0,5127,2,0,1012500.0,1,155,38,2.5,3067.0,2.0,1.0,0.0,182.0,82.0,1900.0,Yarra,-37.8021,144.9976,2,4019.0
37,0,6240,2,0,1030000.0,1,23,46,2.5,3067.0,2.0,1.0,1.0,172.0,81.0,1930.0,Yarra,-37.8086,144.9946,2,4019.0
38,2,3092,3,1,840000.0,0,155,43,13.5,3042.0,3.0,2.0,1.0,303.0,225.0,2016.0,Moonee Valley,-37.718,144.878,6,3464.0
39,2,10215,3,0,730000.0,4,155,45,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley,-37.7203,144.8755,6,3464.0
40,2,10215,3,0,770000.0,3,155,48,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley,-37.7203,144.8755,6,3464.0
41,2,5661,2,0,603000.0,1,155,48,13.5,3042.0,2.0,1.0,1.0,272.0,84.0,1950.0,Moonee Valley,-37.7294,144.888,6,3464.0
42,2,895,3,1,700000.0,1,28,48,13.5,3042.0,3.0,2.0,2.0,239.0,134.0,2009.0,Moonee Valley,-37.7218,144.8837,6,3464.0
43,2,650,3,0,600000.0,1,133,48,13.5,3042.0,2.0,1.0,1.0,290.0,116.0,1980.0,Moonee Valley,-37.7273,144.8744,6,3464.0
44,2,4761,2,2,500000.0,4,16,48,13.5,3042.0,2.0,1.0,1.0,168.0,86.0,2011.0,Moonee Valley,-37.7215,144.8864,6,3464.0
45,2,10502,3,0,720000.0,1,16,51,13.5,3042.0,2.0,1.0,1.0,620.0,,,Moonee Valley,-37.7173,144.8872,6,3464.0
46,2,8072,4,0,785000.0,1,53,51,13.5,3042.0,3.0,1.0,2.0,597.0,127.0,,Moonee Valley,-37.7259,144.8792,6,3464.0
47,2,1504,6,0,725000.0,3,16,52,13.5,3042.0,6.0,3.0,2.0,976.0,186.0,1980.0,Moonee Valley,-37.7239,144.8735,6,3464.0
48,2,4589,2,1,450000.0,1,16,52,13.5,3042.0,2.0,1.0,1.0,110.0,90.0,2015.0,Moonee Valley,-37.7216,144.871,6,3464.0
49,2,7023,2,2,515000.0,1,16,53,13.5,3042.0,2.0,1.0,1.0,141.0,73.0,2013.0,Moonee Valley,-37.7298,144.8883,6,3464.0
50,2,4852,2,2,530000.0,1,155,1,13.5,3042.0,2.0,1.0,1.0,120.0,94.0,2012.0,Moonee Valley,-37.7234,144.8792,6,3464.0
51,2,6708,3,0,895000.0,0,204,1,13.5,3042.0,3.0,1.0,6.0,1063.0,133.0,1975.0,Moonee Valley,-37.7249,144.8728,6,3464.0
52,2,2273,3,0,805000.0,1,155,2,13.5,3042.0,3.0,1.0,1.0,0.0,105.0,1950.0,Moonee Valley,-37.7217,144.8783,6,3464.0
53,2,706,3,2,752000.0,1,155,3,13.5,3042.0,3.0,1.0,1.0,265.0,130.0,1993.0,Moonee Valley,-37.7302,144.8855,6,3464.0
54,2,2821,2,2,440000.0,1,16,9,13.5,3042.0,2.0,1.0,1.0,192.0,,,Moonee Valley,-37.7177,144.8787,6,3464.0
55,2,5902,5,0,755000.0,0,186,10,13.5,3042.0,3.0,2.0,2.0,596.0,,,Moonee Valley,-37.7248,144.8699,6,3464.0
56,2,4721,3,1,700000.0,0,28,12,13.5,3042.0,3.0,2.0,2.0,165.0,133.0,2009.0,Moonee Valley,-37.727,144.887,6,3464.0
57,2,3804,3,0,830000.0,1,16,13,13.5,3042.0,3.0,1.0,2.0,971.0,113.0,1960.0,Moonee Valley,-37.7186,144.876,6,3464.0
58,2,8896,2,2,462500.0,1,16,14,13.5,3042.0,2.0,1.0,1.0,164.0,,2003.0,Moonee Valley,-37.7218,144.8863,6,3464.0
59,2,9294,3,0,670000.0,3,16,14,13.5,3042.0,3.0,2.0,2.0,657.0,,,Moonee Valley,-37.7269,144.8742,6,3464.0
60,2,3601,2,0,675000.0,1,16,14,13.5,3042.0,2.0,1.0,1.0,612.0,100.0,1975.0,Moonee Valley,-37.7187,144.8765,6,3464.0
61,2,2529,3,0,1042000.0,1,155,14,13.5,3042.0,3.0,2.0,5.0,612.0,174.0,1950.0,Moonee Valley,-37.7173,144.8796,6,3464.0
62,2,12158,3,0,910000.0,1,139,17,13.5,3042.0,3.0,1.0,1.0,775.0,,,Moonee Valley,-37.7231,144.8835,6,3464.0
63,2,10887,4,0,773000.0,1,28,17,13.5,3042.0,5.0,3.0,4.0,531.0,309.0,1980.0,Moonee Valley,-37.7263,144.8679,6,3464.0
64,2,9615,3,0,810000.0,0,16,18,13.5,3042.0,3.0,3.0,2.0,555.0,192.0,1980.0,Moonee Valley,-37.7285,144.8694,6,3464.0
65,2,2811,3,0,715000.0,1,204,18,13.5,3042.0,3.0,2.0,2.0,422.0,126.0,1995.0,Moonee Valley,-37.7164,144.8792,6,3464.0
66,2,1333,3,0,790000.0,1,155,18,13.5,3042.0,3.0,1.0,3.0,614.0,,,Moonee Valley,-37.7194,144.8827,6,3464.0
67,2,7268,3,1,540000.0,3,155,19,13.5,3042.0,2.0,2.0,1.0,161.0,101.0,2010.0,Moonee Valley,-37.7231,144.8802,6,3464.0
68,2,8152,3,1,825000.0,3,16,21,13.5,3042.0,3.0,2.0,1.0,293.0,102.0,1960.0,Moonee Valley,-37.72,144.8776,6,3464.0
69,2,1004,3,0,685000.0,1,16,24,13.5,3042.0,3.0,1.0,1.0,579.0,113.0,1975.0,Moonee Valley,-37.7226,144.8733,6,3464.0
70,2,1687,3,0,805000.0,1,16,26,13.5,3042.0,3.0,1.0,1.0,623.0,,,Moonee Valley,-37.7184,144.882,6,3464.0
71,2,4413,2,2,510000.0,1,155,26,13.5,3042.0,2.0,1.0,1.0,141.0,76.0,,Moonee Valley,-37.7202,144.8797,6,3464.0
72,2,1323,3,0,612000.0,1,155,26,13.5,3042.0,3.0,2.0,1.0,212.0,,,Moonee Valley,-37.7181,144.8824,6,3464.0
73,2,1803,3,0,662000.0,1,28,27,13.5,3042.0,3.0,1.0,2.0,612.0,,,Moonee Valley,-37.7169,144.8815,6,3464.0
74,2,7894,4,0,978000.0,1,155,30,13.5,3042.0,4.0,3.0,2.0,532.0,,,Moonee Valley,-37.7263,144.869,6,3464.0
75,2,7780,3,0,720000.0,0,155,31,13.5,3042.0,3.0,1.0,1.0,585.0,,,Moonee Valley,-37.72,144.878,6,3464.0
76,2,9732,4,0,765000.0,1,184,36,13.5,3042.0,4.0,1.0,2.0,509.0,,,Moonee Valley,-37.7261,144.8785,6,3464.0
77,2,12790,4,0,900000.0,1,90,36,13.5,3042.0,4.0,2.0,3.0,628.0,146.0,1975.0,Moonee Valley,-37.7256,144.8739,6,3464.0
78,4,1305,2,0,1275000.0,1,260,43,3.3,3206.0,2.0,1.0,0.0,120.0,82.0,1900.0,Port Phillip,-37.8459,144.9555,5,3280.0
79,4,12789,2,0,1455000.0,1,227,43,3.3,3206.0,2.0,1.0,0.0,159.0,,,Port Phillip,-37.845,144.9538,5,3280.0
80,4,1726,3,0,2850000.0,0,32,48,3.3,3206.0,3.0,2.0,0.0,211.0,198.0,1890.0,Port Phillip,-37.8481,144.9499,5,3280.0
